-[ RECORD 1 ]--+---------------------------------------------------------------------------------
GlobalSequence | 67784
GlobalSequence | 67826
RootSequence   | 95
EventId        | ecf11b3e-28c1-4977-a8ce-66551dbc8e2b
RootRunId      | 2d041922-0c8b-41bb-9c7f-d8f61eaef5c5
RunId          | e5f874f1-02b9-43c8-9c2d-ee932972e992
CorrelationId  | dispatch-0-result-c0b099fba4ba42a89db4f43fde889b96
CausationId    | 
ActorKind      | System
ActorId        | process-runtime-dispatcher
SchemaVersion  | processes.runtime-event-envelope.v1
Sensitivity    | Normal
OccurredAtUtc  | 2026-07-08 16:15:50.409508+00
EventType      | DispatchClaimCompleted
PayloadHash    | 6f539287-98b1-49b5-abc7-731c4db0d263
-[ RECORD 42 ]-+---------------------------------------------------------------------------------
GlobalSequence | 67827
RootSequence   | 96
EventId        | f8df7c26-fdf8-4f9a-bb52-d56eece6ec6b
RootRunId      | 2d041922-0c8b-41bb-9c7f-d8f61eaef5c5
RunId          | e5f874f1-02b9-43c8-9c2d-ee932972e992
CorrelationId  | dispatch-0-result-c0b099fba4ba42a89db4f43fde889b96
CausationId    | 
ActorKind      | System
ActorId        | process-runtime-dispatcher
SchemaVersion  | processes.runtime-event-envelope.v1
Sensitivity    | Normal
OccurredAtUtc  | 2026-07-08 16:15:50.409508+00
EventType      | StepBlocked
PayloadHash    | 2eed8611c12a3efef44d274a5cf5791d458ad68751af214d320b06464a9a8ba3
-[ RECORD 43 ]-+---------------------------------------------------------------------------------
GlobalSequence | 67828
RootSequence   | 97
EventId        | 2a66a56f-e629-477d-bb6f-00cdc7a46366
RootRunId      | 2d041922-0c8b-41bb-9c7f-d8f61eaef5c5
RunId          | e5f874f1-02b9-43c8-9c2d-ee932972e992
CorrelationId  | dispatch-1-block-exhausted-run-c52feec3ba654a2fa0cdc2789ba46447
CausationId    | 
ActorKind      | System
ActorId        | process-runtime-dispatcher
SchemaVersion  | processes.runtime-event-envelope.v1
Sensitivity    | Normal
OccurredAtUtc  | 2026-07-08 16:15:50.554687+00
EventType      | ProcessRunBlocked
PayloadHash    | sha256:263a6f09f6067eb07e51c75de181b97320a8904c4bdd1c5fdbf7299392418c55


